,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
10,2113.1664564977,2110.5327780531,27.36,9714899211.0,9401441164.0,10306931309.0,10447136007.0,8666388618.0,1901706299.0,1867154821.0,2041229791.0,2073267702.0,1737895482.0,6924714.0,7599583.0,7954593.0,7892755.0,6895843.0,6976191.0,7655811.0,7954938.0,7896455.0,6978975.0,3369.0,2806.0,4613.0,2646.0,3466.0,4757532.0,10576305.0,6485446.0,5086177.0,9470221.0,2891737758.0,2891794135.0,2891894623.0,2891759183.0,2732628692.0,4991324.0,11103445.0,6763113.0,7344202.0,9698017.0,3030520170.0,2933187308.0,3243338951.0,3266272666.0,2863416113.0,1613.0,1250.0,1863.0,1875.0,1163.0,1724297.0,4628812.0,1713902.0,1569801.0,3755108.0,3001841.0,5997177.0,4663393.0,3457970.0,5684055.0
11,2112.8132936197,2110.7415728745,125.818,9689119199.0,9486758015.0,10544063794.0,10416362779.0,9712192479.0,1894355371.0,1881527177.0,2043394001.0,2064262022.0,1919147001.0,6915403.0,7737220.0,7770550.0,7864556.0,7485954.0,6912861.0,7731984.0,7759840.0,7863166.0,7481405.0,3866.0,10422.0,4481.0,6281.0,2866.0,4486324.0,9661726.0,5980698.0,4817315.0,8751262.0,2891390839.0,2891303031.0,2891539783.0,2891415193.0,2891359832.0,4724824.0,10228382.0,6311567.0,6648234.0,8938821.0,3028648630.0,2961398200.0,3218458051.0,3256057142.0,3002409494.0,2945.0,7819.0,2556.0,4418.0,2404.0,1533400.0,4199156.0,1598987.0,1454145.0,3108301.0,2874869.0,5325597.0,4229945.0,3223455.0,4745111.0
12,2113.3959070898,2112.5690755316,180.374,9844728514.0,9531199301.0,10559191342.0,10592830021.0,9638204160.0,1920313594.0,1887190441.0,2064113300.0,2093405787.0,1906795350.0,6978044.0,7662290.0,7818743.0,8091340.0,7598360.0,6975572.0,7659246.0,7819499.0,8096214.0,7600730.0,3477.0,2750.0,2818.0,2724.0,3471.0,4774045.0,10625063.0,6486172.0,5076867.0,9562610.0,2891828323.0,2891500602.0,2891733162.0,2891719031.0,2891854767.0,5029492.0,11203041.0,6766053.0,6865014.0,9743127.0,3025504019.0,2927048937.0,3211331364.0,3283315966.0,3022993981.0,1551.0,2313.0,3100.0,2276.0,1463.0,1691924.0,4567954.0,1725247.0,1605895.0,3763927.0,2956828.0,5833685.0,4708400.0,3412371.0,5727657.0
13,2112.8169662842,2110.1193407708,6.048,9707059771.0,9384184452.0,10540908301.0,10577565707.0,9845139350.0,1901654230.0,1865124217.0,2059366079.0,2073895325.0,1907440327.0,6927076.0,7600402.0,7903556.0,8021131.0,7469966.0,6929816.0,7602999.0,7905313.0,8021082.0,7473362.0,2995.0,2796.0,3476.0,3065.0,2776.0,4772522.0,10662165.0,6494734.0,5156447.0,9748993.0,2891865493.0,2891857918.0,2891656580.0,2891857470.0,2891762644.0,5028324.0,11226430.0,6794492.0,7080515.0,9847499.0,3046355491.0,2945488372.0,3223725223.0,3264987663.0,3024805637.0,1513.0,1600.0,1988.0,1576.0,1288.0,1736275.0,4648226.0,1724623.0,1594467.0,3827055.0,2971041.0,5948866.0,4699510.0,3464604.0,5742581.0
14,2113.2971755975,2110.3137658367,12.061,9832827334.0,9509772738.0,10566817506.0,10699584011.0,9864281396.0,1904533607.0,1868991383.0,2080291899.0,2093329348.0,1927078766.0,7223232.0,8346381.0,7818880.0,7857591.0,7534193.0,7224644.0,8348973.0,8061678.0,7861227.0,7533703.0,2106.0,2251.0,2681.0,2396.0,1725.0,4765335.0,10671051.0,6440376.0,5114482.0,9618018.0,2891865423.0,2891835284.0,2891776361.0,2891731761.0,2891825778.0,5005606.0,11171298.0,6792152.0,6917197.0,9763366.0,3026363447.0,2930859258.0,3242355072.0,3285180663.0,3000453594.0,1709.0,1528.0,3015.0,1648.0,1883.0,1758807.0,4705008.0,1731902.0,1610782.0,3817381.0,2960366.0,5882525.0,4727643.0,3498734.0,5869825.0
15,2113.1805198679,2110.7478250729,10.704,9719960715.0,9405062063.0,10566394564.0,9996895758.0,9821851059.0,1901577024.0,1866832327.0,2079920283.0,1937251648.0,1918841449.0,7082824.0,7605900.0,7921657.0,7329484.0,7443187.0,7082837.0,7604813.0,7923281.0,7330484.0,7442454.0,2662.0,2651.0,3562.0,2745.0,2668.0,4762827.0,10678926.0,6463483.0,5140387.0,9681663.0,2891720687.0,2891724843.0,2891709916.0,2703792637.0,2891639800.0,4996260.0,11142421.0,6798909.0,6978716.0,9899244.0,3046514375.0,2945320502.0,3220201336.0,3059735968.0,2981041301.0,1738.0,2389.0,2675.0,2638.0,1963.0,1769317.0,4720327.0,1731668.0,1597598.0,3847595.0,2979881.0,5965060.0,4788845.0,3485131.0,5841534.0
16,2113.1713295743,2110.5039357835,6.064,9932924394.0,9603509148.0,10434140420.0,10686063986.0,9860081456.0,1904394124.0,1864429785.0,2061288692.0,2107895204.0,1941752809.0,6932879.0,7608414.0,7814639.0,7835749.0,7529605.0,6935748.0,7612822.0,7908035.0,7836974.0,7530489.0,2426.0,14358.0,2731.0,2236.0,1920.0,4810892.0,10766242.0,6452950.0,5110832.0,9646522.0,2891888087.0,2891895652.0,2891817994.0,2891789638.0,2891834308.0,5044360.0,11241893.0,6812517.0,7306250.0,9895579.0,3046562752.0,2946469108.0,3244517648.0,3283648774.0,3018827518.0,2776.0,2547.0,2413.0,3371.0,2979.0,1758218.0,4703131.0,1740569.0,1620371.0,3819645.0,2916727.0,5803795.0,4772645.0,3480931.0,5867221.0
17,2113.313038939,2111.4459038723,8.564,4965703898.0,9673403410.0,10503564672.0,10744024651.0,9975438028.0,970747161.0,1897601078.0,2072565629.0,2117547174.0,1972862271.0,3503366.0,7712334.0,7842384.0,7911813.0,7717283.0,3449238.0,7708777.0,7845431.0,7909367.0,7721955.0,14320.0,3735.0,3070.0,2599.0,2523.0,2959919.0,10076293.0,6278839.0,5017066.0,8047519.0,1549575598.0,2891761094.0,2891776998.0,2891778746.0,2891650633.0,3106755.0,10060398.0,6087854.0,6170246.0,8878509.0,1505889907.0,2953701336.0,2952996424.0,2979908912.0,3063295709.0,12466.0,2698.0,2737.0,2943.0,1869.0,898985.0,4378006.0,1692148.0,1597579.0,3480058.0,1742777.0,5656162.0,4511182.0,3380406.0,5300891.0
18,2113.0431449634,2012.6558924396,8.998,4804321483.0,9657628424.0,10357638219.0,10741685328.0,9919718089.0,919701088.0,1890892839.0,2051482553.0,2118401547.0,1964165052.0,3274446.0,7808533.0,7777481.0,7907874.0,7580419.0,3298884.0,7811020.0,7831917.0,7846616.0,7518724.0,11467.0,4484.0,4309.0,3355.0,2840.0,2821717.0,10051116.0,6253741.0,4990869.0,8809252.0,1455865922.0,2891737015.0,2891929950.0,2891614973.0,2891625201.0,3033315.0,10582347.0,6526653.0,6886201.0,8978051.0,1415240869.0,2943723507.0,3235868416.0,3281118228.0,3082937666.0,5260.0,1913.0,1888.0,2413.0,2663.0,909098.0,4434409.0,1705576.0,1602655.0,3365231.0,1936195.0,5778508.0,4530527.0,3397190.0,5263919.0
19,2113.3195205903,1977.3186699474,8.153,4827924621.0,9665729830.0,10370924157.0,10522237600.0,9896070113.0,915723632.0,1909494784.0,2053249391.0,2087042235.0,1949334357.0,3424171.0,7709057.0,8045208.0,7863349.0,7565967.0,3406550.0,7709152.0,8048825.0,7921518.0,7563610.0,6831.0,2981.0,2396.0,2526.0,3651.0,2854390.0,10182812.0,6275050.0,4999088.0,8655005.0,1436338395.0,2891693031.0,2891833370.0,2891628311.0,2891855382.0,3087309.0,10696668.0,6626456.0,6891241.0,8830112.0,1457485534.0,2962146396.0,3252727235.0,3301066098.0,3060554396.0,14819.0,2696.0,2250.0,2666.0,1382.0,878794.0,4355590.0,1657470.0,1597300.0,3327296.0,1881944.0,5722570.0,4509319.0,3349143.0,5225822.0
20,2112.9136025875,1952.8529647967,11.805,5003369924.0,9643015227.0,10486469536.0,10633975096.0,9897478504.0,961125242.0,1904420731.0,2070212028.0,2100955040.0,1959902183.0,3455870.0,7643370.0,7836775.0,7905084.0,7543716.0,3406804.0,7638848.0,7836392.0,7851081.0,7579684.0,6102.0,4827.0,3911.0,2906.0,2597.0,2840535.0,10018232.0,6216769.0,4969124.0,8780924.0,1472987224.0,2891757844.0,2891945759.0,2891622644.0,2891856869.0,3242548.0,10539977.0,6599783.0,6535188.0,9039974.0,1522237745.0,2944060742.0,3234062695.0,3279091936.0,3047473639.0,4714.0,2800.0,2101.0,1676.0,1263.0,912040.0,4384302.0,1672714.0,1557767.0,3485739.0,2086595.0,5708095.0,4431320.0,3361073.0,5449302.0
21,2112.822156393,1944.9251173227,13.596,4769088644.0,9493746974.0,10375399803.0,10507741066.0,9703868139.0,930235836.0,1882446149.0,2056078084.0,2039624547.0,1930719558.0,3305465.0,7675760.0,7640424.0,7524152.0,7792538.0,3352136.0,7738540.0,7480969.0,7413737.0,7803754.0,6780.0,7102.0,3577.0,3766.0,2579.0,2919368.0,9777145.0,5582118.0,4667443.0,8592193.0,1426774929.0,2891586893.0,2891727955.0,2891848957.0,2891819048.0,3042697.0,10470069.0,6482926.0,6874073.0,8912327.0,1467265725.0,2959010625.0,3254744890.0,3302783907.0,3062316147.0,11848.0,4926.0,2288.0,2876.0,1625.0,766401.0,4353714.0,1672213.0,1572523.0,3343792.0,1961867.0,5569689.0,4512478.0,3373747.0,5124202.0
22,2113.0158723973,1910.7268130423,6.647,4160669016.0,9522948380.0,10435153144.0,10576085912.0,9905020349.0,833385287.0,1887697370.0,2060852061.0,2091097184.0,1958687050.0,2855146.0,7624326.0,7823593.0,7884753.0,7544940.0,2917227.0,7635264.0,7826852.0,7892376.0,7544538.0,29192.0,17026.0,3961.0,5817.0,3089.0,2598010.0,9159921.0,5832788.0,4711842.0,7957464.0,1446965682.0,2891462191.0,2891694260.0,2891428507.0,2891373340.0,2812915.0,9613893.0,6096164.0,6340404.0,8273896.0,1248073951.0,2925719111.0,3212199023.0,3254761973.0,3042662371.0,16959.0,12144.0,3612.0,5515.0,1640.0,749825.0,4145349.0,1578781.0,1495220.0,3131329.0,2015556.0,5143127.0,4224566.0,3229736.0,4698148.0
23,2113.0299697152,2006.4560198814,10.221,4878833394.0,9421251930.0,10372355299.0,10496296061.0,9707988963.0,945067298.0,1872159356.0,2052338001.0,2081948329.0,1922131393.0,3397836.0,7603603.0,7777184.0,7995774.0,7462664.0,3396096.0,7664259.0,7775729.0,7998204.0,7496231.0,9557.0,5535.0,3612.0,2896.0,2858.0,2919891.0,10034826.0,6260665.0,4984275.0,8669431.0,1462353653.0,2891838230.0,2891753489.0,2891718389.0,2891970450.0,3078548.0,10659705.0,6581946.0,6872475.0,9011582.0,1502347407.0,2941812534.0,3255465342.0,3281064212.0,3071251796.0,8765.0,2138.0,1713.0,1963.0,1250.0,903854.0,4353390.0,1718118.0,1578889.0,3524368.0,1739737.0,5778004.0,4490681.0,3367624.0,5189121.0
24,2113.1985918054,1961.1619849233,11.699,4643454694.0,9445425201.0,10610202914.0,10027448994.0,9910677461.0,906559068.0,1875811375.0,2055701365.0,1972803201.0,1962028828.0,3231415.0,7654057.0,7788168.0,7403056.0,7749793.0,3252406.0,7657853.0,7788103.0,7342456.0,7748271.0,7697.0,3506.0,2696.0,2571.0,1820.0,2834653.0,10002206.0,6301874.0,4950788.0,9020605.0,1415621874.0,2891788107.0,2891932763.0,2713738226.0,2891818327.0,2845919.0,10727305.0,6604196.0,6812914.0,8977915.0,1432279988.0,2957894863.0,3258311852.0,3172193885.0,3049352326.0,3827.0,2944.0,3092.0,2959.0,2713.0,841415.0,4199641.0,1725570.0,1553263.0,3504606.0,2071176.0,5721128.0,4418599.0,3276546.0,5128520.0
25,2113.1794172008,1932.3010808633,14.748,4975735826.0,9574788932.0,10609007583.0,10650230045.0,9806169603.0,942077971.0,1895382363.0,2073876277.0,2105289135.0,1941511658.0,3394351.0,7722662.0,7843574.0,7920660.0,7507804.0,3358758.0,7721997.0,7844483.0,7920734.0,7502456.0,5467.0,4048.0,3059.0,2479.0,2453.0,2886910.0,10118672.0,6280391.0,4964963.0,8795270.0,1465137568.0,2891686875.0,2891893043.0,2891651420.0,2891737020.0,3264378.0,10615721.0,6559099.0,6658430.0,9051106.0,1496995108.0,2941410465.0,3231030352.0,3303159156.0,3068104155.0,6855.0,2558.0,3099.0,2052.0,2266.0,907169.0,4330180.0,1697529.0,1597591.0,3506950.0,2110200.0,5661532.0,4572738.0,3343449.0,5283240.0
26,2113.0025006966,1936.9865735777,10.467,4824344616.0,9422430402.0,10597204435.0,10627200887.0,10020147192.0,934736499.0,1873085412.0,2070619429.0,2082728333.0,1940743970.0,3338381.0,7650392.0,7779687.0,7858384.0,7501334.0,3336724.0,7658594.0,7781395.0,7862159.0,7503264.0,6787.0,4609.0,3720.0,3251.0,3714.0,2941722.0,10007273.0,6288715.0,5009814.0,9015296.0,1433069059.0,2891542179.0,2891708626.0,2891674620.0,2891748903.0,3129767.0,10697930.0,6575141.0,6503374.0,8886124.0,1484663794.0,2957616043.0,3235904066.0,3280285329.0,3080235143.0,3422.0,2413.0,2563.0,2051.0,1463.0,879829.0,4366508.0,1724888.0,1591818.0,3462633.0,1852492.0,5720759.0,4506514.0,3359740.0,5083372.0
27,2112.7720904907,1924.9461525576,15.347,4615592782.0,9535635595.0,10598175956.0,10742847556.0,10012628450.0,901512976.0,1888369975.0,2086769604.0,2102732991.0,1953537618.0,3237659.0,7708595.0,7838219.0,7913986.0,7551237.0,3312343.0,7710980.0,7837096.0,7914531.0,7549275.0,4525.0,3441.0,2396.0,2206.0,2131.0,2868987.0,10200437.0,6334643.0,5057919.0,8834224.0,1426523782.0,2891809569.0,2891816548.0,2891818640.0,2891554593.0,3203486.0,10742056.0,6643551.0,6900071.0,8948804.0,1462053028.0,2938758612.0,3254300247.0,3297846495.0,3039684859.0,5502.0,2292.0,2861.0,2113.0,2210.0,860505.0,4408390.0,1721852.0,1620992.0,3447936.0,1700237.0,5665923.0,4615464.0,3362599.0,5108793.0
28,2113.3245182085,1916.1087462279,6.515,4928020221.0,9426271677.0,10585899507.0,10736869081.0,8749749798.0,960435547.0,1871792976.0,2083818401.0,2082889232.0,1704798806.0,3372885.0,7644606.0,7776237.0,7994605.0,6642475.0,3406322.0,7653068.0,7772360.0,7996278.0,6711505.0,5810.0,4518.0,3279.0,3079.0,2595.0,2904376.0,9972358.0,6262979.0,5005494.0,8960440.0,1466942494.0,2891857291.0,2891821567.0,2891856777.0,2702978993.0,2980683.0,10690577.0,6592563.0,6850361.0,8748530.0,1496514258.0,2951920378.0,3227260139.0,3272620716.0,2858636970.0,4987.0,1926.0,2538.0,3051.0,1863.0,898587.0,4461161.0,1714210.0,1603320.0,3376568.0,2021500.0,5752048.0,4573023.0,3409826.0,5209690.0
29,2113.2539481718,1924.9044552662,14.694,4933866988.0,9553149553.0,10498607651.0,10763555087.0,9952173436.0,952545438.0,1860036303.0,2073974855.0,2120547865.0,1965702202.0,3422362.0,7735279.0,7843206.0,7875998.0,7554044.0,3371692.0,7730489.0,7793868.0,7877009.0,7569651.0,3736.0,3716.0,3191.0,2926.0,2046.0,2931376.0,10206562.0,6326422.0,5002864.0,8635620.0,1455341721.0,2891704839.0,2891768974.0,2891779864.0,2891862973.0,3166966.0,10582831.0,6557112.0,6561573.0,9157495.0,1517851127.0,2960361127.0,3230305687.0,3282515813.0,3037533101.0,3347.0,4326.0,2300.0,2413.0,1976.0,903231.0,4357127.0,1711727.0,1611279.0,3635695.0,2111764.0,5534820.0,4571833.0,3349811.0,5447576.0
30,2112.9443841003,1921.5734438708,11.984,4853013826.0,9616375642.0,10489872867.0,10756634449.0,9986202171.0,946007747.0,1882844421.0,2071345119.0,2120438425.0,1964848782.0,3364105.0,7674757.0,8027071.0,7917075.0,7626766.0,3382486.0,7670907.0,7835972.0,7913174.0,7638562.0,4238.0,5230.0,2661.0,2665.0,2585.0,2906003.0,10307403.0,6351224.0,5046338.0,8692134.0,1444742492.0,2891839767.0,2891823665.0,2891730421.0,2891716567.0,2945184.0,10703993.0,6583216.0,6752976.0,8879673.0,1490561607.0,2922575098.0,3227342580.0,3275867762.0,3045735969.0,3337.0,3001.0,2202.0,2945.0,2222.0,903008.0,4350585.0,1690673.0,1598575.0,3363403.0,2076620.0,5748752.0,4596476.0,3355203.0,4994871.0
